Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
Tech Stack,Layers,Business Logic,Types,Non-blocking I/O,Vertx.io,,,,Business services,Next Generation Platform,Platforms,Vertx.io,https://vox.sapient.com/docs/DOC-118671,,EU,TW-May13-Assess,0.666666667,Hold,Watch,Out,50,0,Hold,1,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Non-blocking I/O,Netty,,,,Business services,Next Generation Platform,Platforms,Netty,https://vox.sapient.com/docs/DOC-118675,,EU,,1.333333333,Hold,Watch,Out,50,0,Hold,1,Invest,3,Invest,3,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Complex Event Processing (CEP),Apama,,,,Business services,Other,Platforms,Apama CEP,,,IND,,0.666666667,Hold,Exit,In,50,0,Hold,1,Watch,2,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Complex Event Processing (CEP),Streambase,,,,Business services,Other,Platforms,Streambase CEP,,,IND,,0.5,Hold,Exit,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Web Traditional,Perl,,,,Business services,Next Generation Platform,Languages and Frameworks,Perl ,https://vox.sapient.com/docs/DOC-118722,,EU,,2.833333333,Invest,Exit,In,50,0,Hold,1,Invest,3,Hold,1,Maintain,4,Maintain,4,,Maintain,4,
,,,,,,,,,Business services,Other,Languages and Frameworks,ASP.NET,https://vox.sapient.com/docs/DOC-119808,,,,,,Maintain,Out,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Business Logic,Types,Web Traditional,Python,,,,Business services,Other,Languages and Frameworks,Python 3,https://vox.sapient.com/docs/DOC-118721,,IND,,1.5,Maintain,Maintain,Static,50,0,Hold,1,Hold,1,Hold,1,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Layers,Business Logic,Types,Web Traditional,Rails,,,,Business services,Next Generation Platform,Languages and Frameworks,Rails,,,EU,,0.833333333,Hold,Exit,Out,50,0,Hold,1,Hold,1,Hold,1,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Layers,Business Logic,Types,Web Traditional,PHP,,,,Business services,Next Generation Platform,Languages and Frameworks,PHP,https://vox.sapient.com/docs/DOC-118723,,EU,,1.333333333,Hold,Exit,In,50,0,Invest,3,No Opinion ,0,No Opinion ,0,No Opinion ,0,Hold,1,,Maintain,4,
Tech Stack,Layers,Business Logic,Types,Other,KDB+,,,,Business services,Next Generation Platform,Platforms,KDB+,https://vox.sapient.com/docs/DOC-118815,,IND,,2,Watch,Watch,Static,50,0,No Opinion,0,Invest,3,Invest,3,Maintain,4,Watch,2,,No Opinion,0,
,,,,,,,,,Business services,Next Generation Platform,Techniques,Alternatives to .NET/JEE,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
Tech Stack,Layers,Business Logic,Data Access,Hibernate,,,,,Business services,Other,Tools,Hibernate ,https://vox.sapient.com/docs/DOC-119361,,EU,,1.666666667,Watch,Exit,Out,50,0,Hold,1,Hold,1,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Layers,Business Logic,Data Access,ADO.NET,,,,,Business services,Other,Tools,ADO.NET,https://vox.sapient.com/docs/DOC-118676,,EU,,0.666666667,Hold,Exit,In,50,0,Hold,1,Hold,1,No Opinion ,0,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Layers,Data,Governance,,,,,,Data layer,Other,Techniques,Governance ,,,EU,,0.666666667,Hold,Maintain,In,50,0,No Opinion,0,No Opinion ,0,Invest,3,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,Relational,Oracle,Data layer,Other,Platforms,Oracle Database,,,EU,,3.5,Maintain,Maintain,Out,50,0,Maintain,4,Hold,1,Maintain,4,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,Relational,MS SQL Server,Data layer,Other,Platforms,Microsoft SQL Server,https://vox.sapient.com/docs/DOC-118726,,EU,,3.333333333,Invest,Maintain,Static,50,0,Maintain,4,Invest,3,Hold,1,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,NoSQL,Couldant,Data layer,Other,Platforms,IBM Couldant,,,EU,,2.166666667,Watch,Watch,Static,50,0,Maintain,4,Maintain,4,No Opinion ,0,Maintain,4,Hold,1,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,NoSQL,Neo4J,Data layer,Business Intelligence,Platforms,Neo4J,https://vox.sapient.com/docs/DOC-118819,,IND,TW-Jan14-Adopt ,1.333333333,Hold,Invest,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,NoSQL,Amazon DynamoDB,Platforms and Cloud Services,Business Intelligence,Platforms,Amazon DynamoDB,https://vox.sapient.com/docs/DOC-119348,,EU,,1.833333333,Watch,Watch,Out,50,0,Maintain,4,Hold,1,Maintain,4,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,NoSQL,PostgreSQL,Data layer,Business Intelligence,Tools,PostgreSQL for NoSQL,https://vox.sapient.com/docs/DOC-118328,,IND,TW-Jul14-Trial,1.333333333,Hold,Watch,Static,50,0,No Opinion,0,Maintain,4,No Opinion ,0,No Opinion ,0,Watch,2,,Watch,2,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,Object/Document,CouchDB,Data layer,Business Intelligence,Platforms,Couchbase,https://vox.sapient.com/docs/DOC-119345,,EU,,2,Watch,Watch,In,50,0,Maintain,4,Invest,3,Invest,3,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,Object/Document,MongoDB,Data layer,Next Generation Platform,Platforms,MongoDB,https://vox.sapient.com/docs/DOC-119347,,IND,TW-Jan14-Adopt,1.5,Maintain,Invest,Static,50,0,No Opinion,0,Watch,2,No Opinion ,0,No Opinion ,0,Invest,3,,Maintain,4,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,Wide Column Stores,Cassandra,Data layer,Next Generation Platform,Platforms,Apache Cassandra,https://vox.sapient.com/docs/DOC-118729,,IND,,1,Hold,Invest,Out,50,0,No Opinion,0,Invest,3,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,Wide Column Stores,HBase,Data layer,Business Intelligence,Platforms,HBase,https://vox.sapient.com/docs/DOC-118728,,EU,,0.833333333,Hold,Invest,In,50,0,Hold,1,Hold,1,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,Persistent,Wide Column Stores,Druid,Data layer,Business Intelligence,Tools,Druid,,,EU,,0.833333333,Hold,Watch,Out,50,0,Invest,3,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,In Memory Data Grids,NoSQL,Redis,Data layer,Business Intelligence,Platforms,Redis,,,EU,,2.833333333,Invest,Invest,Out,50,0,Maintain,4,Invest,3,Invest,3,Maintain,4,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,In Memory Data Grids,Key-Value Caches,EHCache,Data layer,Business Intelligence,Platforms,EHCache,,,EU,,1.666666667,Watch,Watch,In,50,0,No Opinion,0,Invest,3,Invest,3,No Opinion ,0,Watch,2,,Watch,2,
Tech Stack,Layers,Data,Management,Storage,Types,In Memory Data Grids,Columnar,,Data layer,Business Intelligence,Techniques,Columnar,,,EU,,2.5,Maintain,Invest,Static,50,0,Watch,2,Maintain,4,Invest,3,Invest,3,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,In Memory Data Grids,Data Grids,Oracle Coherence,Data layer,Business Intelligence,Tools,Oracle Coherence,,,EU,,2.666666667,Invest,Watch,Out,50,0,Invest,3,Invest,3,Watch,2,Invest,3,Invest,3,,Watch,2,
Tech Stack,Layers,Data,Management,Storage,Types,In Memory Data Grids,Data Grids,Gemfire,Data layer,Business Intelligence,Tools,Gemfire,,,EU,,1.333333333,Hold,Watch,In,50,0,Hold,1,Watch,2,No Opinion ,0,No Opinion ,0,Invest,3,,Watch,2,
Tech Stack,Layers,Data,Management,Storage,Types,In Memory Data Grids,Data Grids,GigaSpaces,Data layer,Business Intelligence,Tools,GigaSpaces,,,EU,,0.333333333,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Management,Storage,Types,In Memory Data Grids,Data Grids,Hazelcast,Data layer,Next Generation Platform,Languages and Frameworks,Hazelcast ,,,EU,,0.333333333,Hold,Watch,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Warehousing and BI,Terradata,,,,,Data layer,Business Intelligence,Platforms,Teradata,,,EU,,3.166666667,Invest,Invest,Out,50,0,Maintain,4,Maintain,4,Maintain,4,Maintain,4,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Warehousing and BI,Netezza,,,,,Data layer,Business Intelligence,Platforms,IBM Netezza,,,EU,,0.833333333,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,Watch,2,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Meta Data / Semantics,MarkLogic,,,,,Data layer,Business Intelligence,Platforms,MarkLogic,,,EU,,2,Watch,Invest,In,50,0,No Opinion,0,Invest,3,Maintain,4,Watch,2,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Tools,Flyway,,,,,Data layer,Other,Tools,Flyway,https://vox.sapient.com/docs/DOC-118295,,EU,TW-Jul14-Trial,2.166666667,Watch,Watch,Static,50,0,Maintain,4,No Opinion ,0,Invest,3,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,Hadoop Distributed File System (HDFS),,,Data layer,Business Intelligence,Platforms,Hadoop 2.0,https://vox.sapient.com/docs/DOC-119066,,IND,TW-Jul14-Adopt,1.666666667,Watch,Invest,Static,50,0,No Opinion,0,Invest,3,Watch,2,Watch,2,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,MapReduce,,,Data layer,Business Intelligence,Techniques,MapReduce ,https://vox.sapient.com/docs/DOC-119336,,EU,,1.666666667,Watch,Invest,Out,50,0,Watch,2,Invest,3,No Opinion ,0,Watch,2,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,Yet Another Resource Negotiator (YARN),,,Data layer,Business Intelligence,Tools,Yet Another Resource Negotiator (YARN),https://vox.sapient.com/docs/DOC-119337,,EU,,1.666666667,Watch,Watch,In,50,0,Watch,2,Invest,3,No Opinion ,0,Watch,2,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,User Interaction,Pig,,Data layer,Business Intelligence,Tools,Apache Pig,https://vox.sapient.com/docs/DOC-119339,,EU,,1.666666667,Watch,Invest,Static,50,0,Watch,2,Invest,3,No Opinion ,0,Watch,2,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,User Interaction,Sqoop,,Data layer,Business Intelligence,Tools,Apache Sqoop,https://vox.sapient.com/docs/DOC-119340,,EU,,1.5,Maintain,Watch,Out,50,0,Watch,2,Invest,3,No Opinion ,0,Watch,2,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,User Interaction,ZooKeeper,,Infrastructure,Business Intelligence,Tools,ZooKeeper,https://vox.sapient.com/docs/DOC-119342,,EU,,1.333333333,Hold,Watch,In,50,0,Watch,2,Watch,2,No Opinion ,0,Watch,2,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,On-Premises,Hadapt,,Data layer,Business Intelligence,Tools,Teradata Hadapt,https://vox.sapient.com/docs/DOC-119344,,EU,,2,Watch,Watch,Static,50,0,Watch,2,Invest,3,Invest,3,Watch,2,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,On-Premises,Cloudera,,Data layer,Business Intelligence,Platforms,Cloudera,,,EU,,2,Watch,Watch,Out,50,0,Watch,2,Invest,3,Watch,2,Watch,2,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Batch,Hadoop,Private,PaaS,Domain Specific PaaS,Infrastructure,Other,Techniques,Domain Specific PaaS,,,EU,TW-Oct12-Trial ,1.5,Maintain,Watch,Out,50,0,Watch,2,Invest,3,No Opinion ,0,Watch,2,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Predictive,Python,,,Business services,Other,Tools,Python,https://vox.sapient.com/docs/DOC-118721,,EU,,1.5,Maintain,Exit,Static,50,0,Hold,1,No Opinion ,0,Watch,2,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Predictive,SQL Stream,,,Data layer,Other,Tools,SQLStream,https://vox.sapient.com/docs/DOC-119045,,EU,,1.5,Maintain,Watch,Static,50,0,No Opinion,0,Hold,1,Hold,1,Maintain,4,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Search,ElasticSearch,,Data layer,Next Generation Platform,Platforms,Elastic Search ,,,IND,TW-Jan14-Adopt,0.5,Hold,Invest,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Data Analytics,Pentaho,,Data layer,Business Intelligence,Platforms,Pentaho,https://vox.sapient.com/docs/DOC-118574,,EU,,1.833333333,Watch,Watch,Static,50,0,No Opinion,0,Maintain,4,Maintain,4,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Data Analytics,IT Log Analytics,Log Stash,Infrastructure,Other,Languages and Frameworks,Logstash,,,EU,,0.5,Hold,Watch,In,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Data Analytics,IT Log Analytics,Sumo Logic,Infrastructure,Other,Platforms,Sumo Logic,https://vox.sapient.com/docs/DOC-119050,,EU,,0.5,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Data Analytics,Analytics Platforms,Databricks,Platforms and Cloud Services,Other,Platforms,Databricks,https://vox.sapient.com/docs/DOC-119051,,EU,,0.333333333,Hold,Watch,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Time-Series Analysis,OneTick,,Data layer,Business Intelligence,Tools,One Tick,,,IND,,0.5,Hold,Exit,Out,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Time-Series Analysis,Vhayu,,Data layer,Business Intelligence,Tools,Vhayu,,,EU,,2.5,Maintain,Exit,In,50,0,Invest,3,Invest,3,Invest,3,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Business Intelligence,Jaspersoft,,Data layer,Other,Tools,TIBCO Jaspersoft,https://vox.sapient.com/docs/DOC-119054,,EU,,2.333333333,Watch,Watch,In,50,0,Watch,2,Invest,3,Invest,3,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Business Intelligence,Snowplow,,Presentation layer,Other,Tools,Snowplow,https://vox.sapient.com/docs/DOC-118309,,EU,TW-Jul14-Trial,1.333333333,Hold,Watch,In,50,0,Watch,2,Watch,2,No Opinion ,0,Watch,2,Watch,2,,No Opinion,0,
Tech Stack,Layers,Data,Big Data,Analytics,Descriptive,Business Intelligence,Piwik,,Data layer,Other,Tools,Piwik,https://vox.sapient.com/docs/DOC-118309,,EU,TW-Jul14-Trial,1.333333333,Hold,Watch,Static,50,0,Watch,2,Watch,2,No Opinion ,0,Watch,2,Watch,2,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Web Transport,SPDY,,,,Integration,Next Generation Platform,Languages and Frameworks,SPDY,https://vox.sapient.com/docs/DOC-118355?sr=stream,,IND,TW-Jul14-Assess,1.166666667,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,Hold,1,Invest,3,Invest,3,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,MOM,Wombat,,,Integration,Next Generation Platform,Platforms,Wombat,,,EU,,1.5,Maintain,Watch,In,50,0,Watch,2,Invest,3,Invest ,3,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,MOM,29West,,,Integration,Next Generation Platform,Platforms,29West,,,EU,,1.333333333,Hold,Watch,In,50,0,Watch,2,Invest,3,Watch,2,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,MOM,Solace Systems,,,Integration,Next Generation Platform,Platforms,Solace Systems,,,IND,,1.666666667,Watch,Watch,In,50,0,No Opinion,0,Maintain,4,Maintain,4,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,Message Queues,MQ WebSphere,,,Integration,Other,Platforms,IBM Websphere MQ,https://vox.sapient.com/docs/DOC-118817,,EU,,1.666666667,Watch,Exit,In,50,0,invest,3,Watch,2,Invest,3,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,Message Queues,Rabbit MQ,,,Integration,Other,Platforms,RabbitMQ,https://vox.sapient.com/docs/DOC-119925,,IND,,1.833333333,Watch,Invest,Static,50,0,invest,3,Watch,2,Invest,3,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,Message Queues,JMS,ActiveMQ,,Integration,Other,Tools,ActiveMQ,,,EU,,1.166666667,Hold,Watch,Static,50,0,No Opinion,0,Watch,2,Watch,2,No Opinion ,0,Invest,3,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,Message Queues,JMS,Oracle WebLogic,,Integration,Other,Platforms,Oracle WebLogic JMS,https://vox.sapient.com/docs/DOC-119801,,EU,,1.5,Maintain,Exit,In,50,0,No Opinion,0,Maintain,4,Maintain,4,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Layers,Messaging and Communications,Messaging,Asynchronous,Message Queues,JMS,EMS TIBCO,,Integration,Other,Platforms,TIBCO Enterprise Message Service,,,EU,,0.333333333,Hold,Exit,Static,50,0,No Opinion,0,Hold,1,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Tools,Coding,Code Quality,Altassian Clover,,,,,Delivery,Other,Tools,Altassian Clover,,,EU,,1.666666667,Watch,Watch,In,50,0,No Opinion,0,Maintain,4,Maintain,4,No Opinion ,0,Watch,2,,No Opinion,0,
Tech Stack,Tools,Coding,Code Quality,FindBugs,,,,,Delivery,Other,Tools,FindBugs,,,EU,,1,Hold,Watch,Static,50,0,No Opinion,0,Hold,1,Maintain,4,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Tools,Coding,Build/Packaging Tools,Jenkins,,,,,Delivery,Other,Tools,Jenkins,,,EU,,2.666666667,Invest,Watch,Out,50,0,No Opinion,0,Maintain,4,Maintain,4,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,Build/Packaging Tools,Maven,,,,,Delivery,Other,Tools,Maven,https://vox.sapient.com/docs/DOC-118626,,EU,TW-May13-Hold ,2.333333333,Watch,Exit,In,50,0,Invest,3,Invest,3,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,Build/Packaging Tools,Gulp,,,,,Delivery,Other,Tools,Gulp,https://vox.sapient.com/docs/DOC-118301?sr=stream,,EU,TW-Jul-14-Trial,2.333333333,Watch,Watch,Out,50,0,Invest,3,Invest,3,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,Build/Packaging Tools,Grunt,,,,,Delivery,Other,Tools,Grunt.JS,https://vox.sapient.com/docs/DOC-118301?sr=stream,,IND,TW-Jul-14-Trial,1.833333333,Watch,Watch,In,50,0,No Opinion,0,Invest,3,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,Build/Packaging Tools,Gradle,,,,,Delivery,Other,Tools,Gradle,https://vox.sapient.com/docs/DOC-118624,,EU,TW-Jan14-Adopt,2.833333333,Invest,Invest,Static,50,0,Invest,3,Invest,3,Invest,3,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,Continuous Integration,Bamboo,,,,,Delivery,Other,Tools,Bamboo,,,EU,,2.333333333,Watch,Invest,Out,50,0,Hold,1,Maintain,4,Invest,3,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Tools,Coding,Continuous Integration,Team City,,,,,Delivery,Other,Tools,Team City,,,EU,,2.5,Maintain,Maintain,In,50,0,Hold,1,Maintain,4,Maintain,4,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Tools,Coding,Continuous Integration,CruiseControl,,,,,Delivery,Other,Tools,CruiseControl,,,EU,,3.333333333,Invest,Exit,Static,50,0,Maintain,4,Maintain,4,Maintain,4,Maintain,4,Maintain,4,,No Opinion,0,
Tech Stack,Tools,Coding,Continuous Integration,Team Foundation Server,,,,,Delivery,Other,Tools,Team Foundation Server,,,IND,,3.666666667,Maintain,Exit,Out,50,0,Maintain,4,Maintain,4,Maintain,4,Maintain,4,Watch,2,,Maintain,4,
Tech Stack,Tools,Coding,IDE's,Eclipse,,,,,Delivery,Other,Tools,Eclipse,,,EU,,3.333333333,Invest,Maintain,In,50,0,Maintain,4,Maintain,4,Maintain,4,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,IDE's,WebStorm,,,,,Presentation layer,Other,Tools,WebStorm,https://vox.sapient.com/docs/DOC-119846,,EU,,3.333333333,Invest,Invest,Static,50,0,Maintain,4,Maintain,4,Maintain,4,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,IDE's,IntilleJ,,,,,Presentation layer,Other,Tools,Intellij,,,EU,,3.333333333,Invest,Exit,Out,50,0,Maintain,4,Maintain,4,No Opinion ,0,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,IDE's,MS VisualStudio,,,,,Delivery,Other,Tools,Microsoft VisualStudio,,,EU,,1.833333333,Watch,Maintain,In,50,0,No Opinion,0,Invest,3,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Coding,IDE's,SpringBoot,,,,,Business services,Other,Languages and Frameworks,Spring Boot,,,EU,TW-Jul14-Assess,0.833333333,Hold,Watch,Out,50,0,No Opinion,0,No Opinion ,0,Invest,3,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Tools,Continuous Delivery,Go CD,,,,,,Delivery,Other,Tools,Go CD,https://vox.sapient.com/docs/DOC-118299?sr=stream,,EU,TW-Jul14-Trial,0.166666667,Hold,Watch,Static,50,0,No Opinion,0,No Opinion ,0,No Opinion ,0,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Tools,Continuous Delivery,SnapCI,,,,,,Delivery,Other,Tools,SnapCI,,,IND,TW-Jul14-Trial,1.666666667,Watch,Watch,Out,50,0,Hold,1,Maintain,4,Maintain,4,No Opinion ,0,Hold,1,,No Opinion,0,
Tech Stack,Tools,Version Control,SVN,,,,,,Delivery,Other,Tools,Subversion,,,EU,,2.166666667,Watch,Maintain,Out,50,0,Maintain,4,Invest,3,Maintain,4,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Tools,Version Control,Git,,,,,,Delivery,Other,Tools,GIT,,,IND,TW-Jan14-Adopt ,1.666666667,Watch,Invest,Static,50,0,Hold,1,Hold,1,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Tools,Version Control,VCS,,,,,,Delivery,Other,Tools,CVS,,,EU,TW-Oct12-Hold,1.5,Maintain,Exit,Out,50,0,Watch,2,Hold,1,Maintain,4,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Languages,Compiled Languages,C++,,,,,,Business services,Other,Languages and Frameworks,C++,https://vox.sapient.com/docs/DOC-119806,,EU,,1.5,Maintain,Maintain,Out,81,81,Hold,1,Hold,1,Maintain,4,Hold,1,Hold,1,,Hold,1,
